,STATEFP,COUNTYFP,ALAND,AWATER
827,27,005,3406054658,336952350
828,16,033,4566524478,2476454
829,15,009,3008348862,3203294204
830,39,097,1206498201,2066974
831,08,063,5596501999,2251929
832,20,109,2779039721,274632
833,17,175,745984521,708705
834,48,447,2363499444,7586186
835,39,077,1272965328,8615924
836,18,019,965665969,9204756
837,18,029,790147727,6024011
838,21,015,637873416,26481570
839,21,231,1186690636,67283902
840,24,037,928997941,1050393887
841,26,003,2369925450,10703519681
842,12,051,2994619283,87037213
843,18,169,1068458874,21863329
844,06,089,9778230074,186479459
845,20,171,1858536840,306079
846,05,141,1838200430,37692769
847,48,033,2324366073,22297606
848,08,119,1442734237,4944578
849,22,089,719354044,308654026
850,36,023,1291815778,7112822
851,21,235,1133976443,18875482
852,17,019,2579909092,6099477
853,26,081,2196437063,61882735
854,20,053,1853331063,19969761
855,20,029,1852726650,6859888
856,29,097,1653724865,7162363
857,51,167,1226419638,7550972
858,48,093,2428768917,25719485
859,01,075,1566544637,1600679
860,04,019,23794796847,5251370
861,06,087,1152866293,419671509
862,12,073,1727086019,90548394
863,16,017,4488997480,478943304
864,17,151,955109665,14328524
865,18,105,1021806951,43510631
866,27,039,1137724828,800245
867,31,047,2623887234,16431843
868,31,097,974023330,1711433
869,72,005,94616369,101129298
870,38,079,2338953779,93938151
871,13,023,559100774,8446773
872,31,017,3163296262,9814399
873,30,069,4288047865,48927318
874,18,131,1123188311,2249314
875,50,019,1796346996,71471486
876,26,135,1465088063,15136485
877,29,209,1201828866,121052092
878,12,049,1651329788,1439673
879,20,087,1379360299,62427358
880,42,075,937071896,1799189
881,48,279,2631897582,3973764
882,72,007,77919491,28383
883,46,057,1313733694,79864241
884,51,159,495925426,64458631
885,40,039,2561032751,34321689
886,48,009,2339507619,57768335
887,51,595,17881071,165621
888,18,007,1052616452,236033
889,13,035,475754781,11269640
890,31,077,1475804204,2188872
891,46,087,1487184889,6895716
892,72,089,66851394,53659425
893,48,109,9873439558,556134
894,19,095,1518911693,2686847
895,30,105,12758539637,351469576
896,34,021,581281416,11451147
897,35,055,5704119381,3383128
898,35,035,17126456771,36943378
899,48,323,3313817728,31871315
900,46,107,2230336531,97171992
901,48,035,2545908079,50666115
902,49,021,8537474421,11390956
903,22,097,2392922773,39029142
904,22,127,2460711980,17448075
905,36,031,4646744231,316359504
906,42,101,347661370,21926542
907,42,129,2662611738,20838920
908,50,021,2408213829,38757297
909,53,035,1023381117,442114809
910,01,027,1564251835,5285207
911,54,051,791063494,17411506
912,54,029,213957187,13879294
913,51,045,849770458,2793174
914,17,069,459650851,10640803
915,37,167,1023370459,25242751
916,72,025,151780144,1204041
917,47,189,1479119593,32063469
918,17,133,997908512,33784324
919,13,217,709007143,14112186
920,17,089,1345134059,12490587
921,18,073,1449421161,4571245
